,clean,corrupted,correct_idx,incorrect_idx
143,"After Amy and Samantha went to the school, Samantha gave a necklace to","After Erin and Robert went to the school, David gave a necklace to",28693,8397
112,"Then, Sarah and Melissa went to the office. Melissa gave a computer to","Then, Ashley and Jeremy went to the office. Andrew gave a computer to",20445,27118
699,"When Vanessa and Kenneth got a snack at the garden, Vanessa decided to give it to","When Bryan and Sara got a snack at the garden, Jamie decided to give it to",48398,36353
811,"When Joshua and Christina got a bone at the garden, Christina decided to give it to","When Joseph and Lauren got a bone at the garden, Jacob decided to give it to",39492,42360
202,"After Brian and Sean went to the office, Brian gave a ring to","After Angela and Richard went to the office, Bradley gave a ring to",24995,37143
437,"Then, Richard and Stephanie were working at the station. Stephanie decided to give a computer to","Then, Shannon and Emily were working at the station. Kevin decided to give a computer to",11867,34166
90,"When Emily and Andrea got a kiss at the garden, Andrea decided to give it to","When Kimberly and Vanessa got a kiss at the garden, Jesse decided to give it to",34166,70519
607,"Then, Crystal and Christopher went to the office. Crystal gave a bone to","Then, Sarah and Tiffany went to the office. Jamie gave a bone to",24986,20445
741,"Then, Andrew and Travis had a lot of fun at the office. Andrew gave a ring to","Then, Christopher and Joseph had a lot of fun at the office. Kristen gave a ring to",40710,24986
480,"Then, Jesse and Jennifer went to the office. Jesse gave a drink to","Then, Christopher and Andrea went to the office. William gave a drink to",29650,24986
20,"When Elizabeth and Steven got a drink at the restaurant, Elizabeth decided to give it to","When Lisa and Heather got a drink at the restaurant, Cody decided to give it to",23644,28556
99,"Then, Andrew and Tiffany went to the garden. Tiffany gave a computer to","Then, Brandon and Vanessa went to the garden. Sara gave a computer to",13615,70519
744,"Then, Erin and Eric were thinking about going to the restaurant. Erin wanted to give a drink to","Then, Nicholas and Shannon were thinking about going to the restaurant. John wanted to give a drink to",16247,39696
820,"Then, Vanessa and Jacob were thinking about going to the office. Vanessa wanted to give a necklace to","Then, Kevin and Bradley were thinking about going to the office. Rachel wanted to give a necklace to",24521,16364
839,"When Sarah and Nicholas got a kiss at the school, Nicholas decided to give it to","When Danielle and Gregory got a kiss at the school, Adam decided to give it to",20445,42969
860,"Then, Anthony and Michael were thinking about going to the office. Michael wanted to give a basketball to","Then, Brian and Benjamin were thinking about going to the office. Sarah wanted to give a basketball to",20696,29311
225,"When Charles and Jessica got a necklace at the office, Charles decided to give it to","When Jacob and Gregory got a necklace at the office, Justin decided to give it to",32367,24521
207,"Then, Steven and Katie had a lot of fun at the office. Steven gave a ring to","Then, Christina and Adam had a lot of fun at the office. Kenneth gave a ring to",44463,59671
