,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
826,"When Amy and Laura got a snack at the house, Laura decided to give it to","When Amy and Laura got a snack at the house, Nicholas decided to give it to","When Amy and Laura got a snack at the house, Amy decided to give it to",14235,16753
475,"Then, Danielle and Andrew had a lot of fun at the office. Andrew gave a computer to","Then, Danielle and Andrew had a lot of fun at the office. Jeremy gave a computer to","Then, Danielle and Andrew had a lot of fun at the office. Danielle gave a computer to",39808,6858
975,"When Anthony and Jose got a drink at the restaurant, Jose decided to give it to","When Anthony and Jose got a drink at the restaurant, Nathan decided to give it to","When Anthony and Jose got a drink at the restaurant, Anthony decided to give it to",9953,5264
220,"Then, Sean and Vanessa had a long argument, and afterwards Vanessa said to","Then, Sean and Vanessa had a long argument, and afterwards Kimberly said to","Then, Sean and Vanessa had a long argument, and afterwards Sean said to",11465,42100
421,"Then, Crystal and Dustin were working at the school. Crystal decided to give a snack to","Then, Crystal and Dustin were working at the school. Kevin decided to give a snack to","Then, Crystal and Dustin were working at the school. Dustin decided to give a snack to",37616,12969
691,"Then, Dustin and Sarah were thinking about going to the hospital. Sarah wanted to give a computer to","Then, Dustin and Sarah were thinking about going to the hospital. Courtney wanted to give a computer to","Then, Dustin and Sarah were thinking about going to the hospital. Dustin wanted to give a computer to",37616,10490
948,"When Nicholas and Erin got a ring at the restaurant, Nicholas decided to give it to","When Nicholas and Erin got a ring at the restaurant, Jeremy decided to give it to","When Nicholas and Erin got a ring at the restaurant, Erin decided to give it to",28894,20320
801,"Then, Sarah and Kenneth went to the school. Kenneth gave a snack to","Then, Sarah and Kenneth went to the school. Kevin gave a snack to","Then, Sarah and Kenneth went to the school. Sarah gave a snack to",10490,23632
769,"Then, Alicia and Katie were thinking about going to the station. Katie wanted to give a drink to","Then, Alicia and Katie were thinking about going to the station. Emily wanted to give a drink to","Then, Alicia and Katie were thinking about going to the station. Alicia wanted to give a drink to",39607,24721
479,"Then, Andrew and Bryan were working at the hospital. Bryan decided to give a necklace to","Then, Andrew and Bryan were working at the hospital. Erin decided to give a necklace to","Then, Andrew and Bryan were working at the hospital. Andrew decided to give a necklace to",6858,17857
956,"When Samuel and Katherine got a bone at the station, Samuel decided to give it to","When Samuel and Katherine got a bone at the station, Tiffany decided to give it to","When Samuel and Katherine got a bone at the station, Katherine decided to give it to",32719,17100
461,"Then, Jason and Bradley were thinking about going to the school. Bradley wanted to give a computer to","Then, Jason and Bradley were thinking about going to the school. Jennifer wanted to give a computer to","Then, Jason and Bradley were thinking about going to the school. Jason wanted to give a computer to",8982,16182
846,"Then, Steven and Andrea were thinking about going to the station. Steven wanted to give a basketball to","Then, Steven and Andrea were thinking about going to the station. Jonathan wanted to give a basketball to","Then, Steven and Andrea were thinking about going to the station. Andrea wanted to give a basketball to",23174,8239
545,"Then, Christina and Amy went to the restaurant. Amy gave a ring to","Then, Christina and Amy went to the restaurant. Amanda gave a ring to","Then, Christina and Amy went to the restaurant. Christina gave a ring to",33673,14235
452,"Then, Jeremy and Nicole were working at the house. Jeremy decided to give a basketball to","Then, Jeremy and Nicole were working at the house. Paul decided to give a basketball to","Then, Jeremy and Nicole were working at the house. Nicole decided to give a basketball to",25176,11753
708,"Then, Andrea and James had a lot of fun at the store. James gave a snack to","Then, Andrea and James had a lot of fun at the store. Gregory gave a snack to","Then, Andrea and James had a lot of fun at the store. Andrea gave a snack to",23174,3700
537,"Then, Ashley and John had a long argument, and afterwards John said to","Then, Ashley and John had a long argument, and afterwards Kevin said to","Then, Ashley and John had a long argument, and afterwards Ashley said to",20899,1757
852,"After Daniel and Justin went to the garden, Justin gave a ring to","After Daniel and Justin went to the garden, Aaron gave a ring to","After Daniel and Justin went to the garden, Daniel gave a ring to",7806,10799
817,"Then, Stephen and Shannon were working at the office. Stephen decided to give a kiss to","Then, Stephen and Shannon were working at the office. Benjamin decided to give a kiss to","Then, Stephen and Shannon were working at the office. Shannon decided to give a kiss to",28108,7970
286,"After Kenneth and Katherine went to the school, Katherine gave a snack to","After Kenneth and Katherine went to the school, Megan gave a snack to","After Kenneth and Katherine went to the school, Kenneth gave a snack to",23632,32719
283,"Then, Lisa and Katherine had a long argument, and afterwards Katherine said to","Then, Lisa and Katherine had a long argument, and afterwards Jose said to","Then, Lisa and Katherine had a long argument, and afterwards Lisa said to",15378,32719
193,"Then, Amber and Jesse had a long argument, and afterwards Amber said to","Then, Amber and Jesse had a long argument, and afterwards Jonathan said to","Then, Amber and Jesse had a long argument, and afterwards Jesse said to",18033,21896
317,"After Jessica and Andrew went to the station, Jessica gave a snack to","After Jessica and Andrew went to the station, Timothy gave a snack to","After Jessica and Andrew went to the station, Andrew gave a snack to",6858,17352
310,"After Richard and Courtney went to the office, Courtney gave a necklace to","After Richard and Courtney went to the office, Justin gave a necklace to","After Richard and Courtney went to the office, Richard gave a necklace to",6219,36677
368,"When Cody and Adam got a drink at the station, Cody decided to give it to","When Cody and Adam got a drink at the station, Michael decided to give it to","When Cody and Adam got a drink at the station, Adam decided to give it to",7244,27035
872,"When Gregory and Bradley got a computer at the hospital, Bradley decided to give it to","When Gregory and Bradley got a computer at the hospital, Eric decided to give it to","When Gregory and Bradley got a computer at the hospital, Gregory decided to give it to",20653,16182
104,"Then, Emily and Samantha were working at the station. Samantha decided to give a snack to","Then, Emily and Samantha were working at the station. Allison decided to give a snack to","Then, Emily and Samantha were working at the station. Emily decided to give a snack to",17608,34778
66,"Then, Christine and Kenneth were thinking about going to the store. Christine wanted to give a snack to","Then, Christine and Kenneth were thinking about going to the store. Megan wanted to give a snack to","Then, Christine and Kenneth were thinking about going to the store. Kenneth wanted to give a snack to",23632,26088
933,"Then, Samuel and William were working at the store. Samuel decided to give a computer to","Then, Samuel and William were working at the store. Alicia decided to give a computer to","Then, Samuel and William were working at the store. William decided to give a computer to",3977,17100
504,"Then, Elizabeth and Lindsay went to the school. Lindsay gave a bone to","Then, Elizabeth and Lindsay went to the school. Rachel gave a bone to","Then, Elizabeth and Lindsay went to the school. Elizabeth gave a bone to",10674,33127
993,"Then, Crystal and Stephen had a long argument, and afterwards Crystal said to","Then, Crystal and Stephen had a long argument, and afterwards Kelly said to","Then, Crystal and Stephen had a long argument, and afterwards Stephen said to",7970,12969
743,"When Alicia and Joshua got a bone at the restaurant, Joshua decided to give it to","When Alicia and Joshua got a bone at the restaurant, Jose decided to give it to","When Alicia and Joshua got a bone at the restaurant, Alicia decided to give it to",39607,20700
567,"Then, Bradley and Stephanie went to the school. Bradley gave a basketball to","Then, Bradley and Stephanie went to the school. James gave a basketball to","Then, Bradley and Stephanie went to the school. Stephanie gave a basketball to",26085,16182
961,"Then, Jessica and Angela went to the store. Jessica gave a bone to","Then, Jessica and Angela went to the store. Paul gave a bone to","Then, Jessica and Angela went to the store. Angela gave a bone to",17799,17352
981,"Then, Christine and Nicole went to the school. Christine gave a bone to","Then, Christine and Nicole went to the school. Rebecca gave a bone to","Then, Christine and Nicole went to the school. Nicole gave a bone to",25176,26088
488,"When Andrea and Gregory got a computer at the station, Gregory decided to give it to","When Andrea and Gregory got a computer at the station, Justin decided to give it to","When Andrea and Gregory got a computer at the station, Andrea decided to give it to",23174,20653
637,"Then, Jamie and Bryan were thinking about going to the restaurant. Bryan wanted to give a basketball to","Then, Jamie and Bryan were thinking about going to the restaurant. Angela wanted to give a basketball to","Then, Jamie and Bryan were thinking about going to the restaurant. Jamie wanted to give a basketball to",17826,17857
131,"After Ryan and Alexander went to the hospital, Alexander gave a basketball to","After Ryan and Alexander went to the hospital, Erica gave a basketball to","After Ryan and Alexander went to the hospital, Ryan gave a basketball to",6047,10009
