clean,corrupted,correct_idx,incorrect_idx
"Kinds of things include weapon, animal, sport, clothes and fruit.< Kimberly has mouse. Betty has baseball. Elizabeth has blackberries. >. So Betty owns a kind of sport< William has handgun. Kevin has peach. Christopher has shoes. >. So William owns a kind of ","Kinds of things include weapon, animal, sport, clothes and fruit.< Kimberly has mouse. Betty has baseball. Elizabeth has blackberries. >. So Betty owns a kind of sport< William has handgun. Kevin has peach. Christopher has shoes. >. So Walter owns a kind of ",28639,15774
"Kinds of things include weapon, insect, animal and vehicle.< Sharon has fox. Karen has cannon. Helen has mosquito. >. So Helen owns a kind of insect< Kimberly has handgun. Barbara has motorcycle. Lisa has beetle. >. So Barbara owns a kind of ","Kinds of things include weapon, insect, animal and vehicle.< Sharon has fox. Karen has cannon. Helen has mosquito. >. So Helen owns a kind of insect< Kimberly has handgun. Barbara has motorcycle. Lisa has beetle. >. So Betty owns a kind of ",19716,28639
"Kinds of things include animal, sport, clothes, fruit and food.< Sarah has spaghetti. Donna has plum. Steven has basketball. >. So Steven owns a kind of ","Kinds of things include animal, sport, clothes, fruit and food.< Sarah has spaghetti. Donna has plum. Steven has basketball. >. So Donald owns a kind of ",7980,15774
"Kinds of things include food, instrument, fruit and animal.< John has elephant. Daniel has piano. Brian has watermelon. >. So John owns a kind of animal< Sarah has pizza. Paul has lemon. Susan has cat. >. So Sarah owns a kind of ","Kinds of things include food, instrument, fruit and animal.< John has elephant. Daniel has piano. Brian has watermelon. >. So John owns a kind of animal< Sarah has pizza. Paul has lemon. Susan has cat. >. So Ruth owns a kind of ",9687,15774
"Kinds of things include weapon, sport, clothes, fruit and food.< James has kiwi. Lisa has football. Patricia has shoes. >. So Lisa owns a kind of sport< Carol has handgun. Deborah has blueberries. William has hamburger. >. So Carol owns a kind of ","Kinds of things include weapon, sport, clothes, fruit and food.< James has kiwi. Lisa has football. Patricia has shoes. >. So Lisa owns a kind of sport< Carol has handgun. Deborah has blueberries. William has hamburger. >. So John owns a kind of ",28639,13019
"Kinds of things include instrument, weapon, animal, fruit and food.< Betty has meat. Linda has apricot. Robert has handgun. >. So Betty owns a kind of food< Ronald has duck. Donald has tiger. Michael has piano. >. So Michael owns a kind of ","Kinds of things include instrument, weapon, animal, fruit and food.< Betty has meat. Linda has apricot. Robert has handgun. >. So Betty owns a kind of food< Ronald has duck. Donald has tiger. Michael has piano. >. So Jeff owns a kind of ",11395,13019
"Kinds of things include vehicle, fruit, animal and clothes.< Maria has shoes. Kenneth has monkey. Linda has grapes. >. So Maria owns a kind of clothes< Michelle has bus. Kimberly has rabbit. Betty has blackberries. >. So Michelle owns a kind of ","Kinds of things include vehicle, fruit, animal and clothes.< Maria has shoes. Kenneth has monkey. Linda has grapes. >. So Maria owns a kind of clothes< Michelle has bus. Kimberly has rabbit. Betty has blackberries. >. So Joyce owns a kind of ",19716,13019
"Kinds of things include weapon, vehicle, drink, clothes and fruit.< Daniel has taxi. Susan has tea. Ronald has plum. >. So Ronald owns a kind of fruit< Mary has jeep. Robert has grenade. James has trousers. >. So Robert owns a kind of ","Kinds of things include weapon, vehicle, drink, clothes and fruit.< Daniel has taxi. Susan has tea. Ronald has plum. >. So Ronald owns a kind of fruit< Mary has jeep. Robert has grenade. James has trousers. >. So Rosa owns a kind of ",28639,19716
"Kinds of things include weapon, sport, fruit and animal.< Donna has goat. Karen has football. Nancy has pear. >. So Karen owns a kind of sport< John has mango. Barbara has lime. Michael has rifle. >. So Michael owns a kind of ","Kinds of things include weapon, sport, fruit and animal.< Donna has goat. Karen has football. Nancy has pear. >. So Karen owns a kind of sport< John has mango. Barbara has lime. Michael has rifle. >. So Maria owns a kind of ",28639,15774
"Kinds of things include drink, fruit, food and animal.< Laura has blackberries. Ronald has goat. Susan has vodka. >. So Susan owns a kind of drink< Elizabeth has cherries. Margaret has elephant. Sarah has meat. >. So Elizabeth owns a kind of ","Kinds of things include drink, fruit, food and animal.< Laura has blackberries. Ronald has goat. Susan has vodka. >. So Susan owns a kind of drink< Elizabeth has cherries. Margaret has elephant. Sarah has meat. >. So Carol owns a kind of ",15774,13019
